,Operador,cant_Accidentes
946,Aviaco Condor,1
947,Aerocondor Colombia,1
948,Texas International Airlines,1
949,Aeronorte,3
950,Executive Funds,1
951,Air East,1
952,Servicios Aéreos Boliviano,1
953,Cessnyca,1
954,Military - West German Air Force,1
955,Pathet Lao Airlines,1
956,Sierra Pacific Airlines,1
957,Wenela Air Services,1
958,Houston Metro Airlines,1
959,Aero Taxis Equatorianos,1
960,Fragtflug,1
961,Lambair,1
962,Alaska Helicopter - Air Taxi,1
963,Aeronorte Colombia,2
964,Air Amercia,1
965,Laurentian Air Services,1
966,Air  Mali,1
967,Military - Zairean Air Force,3
968,Mabuhay Airways,1
969,Alaska International Air,1
970,Hlavka Aviation - Air Taxi,1
971,Orient Air System and Integrated Services,1
972,Alpa Servicios Aéreos,1
973,Martinair Holland NV,2
974,Aerovias Venezolanas SA (Venezuela),0
975,Edwin Ortiz,1
976,Golden West Airlines / Private,1
977,Linea Aérea Nacional,1
978,Horizon Properties,1
979,Military - Deutsche Luftwaffe,1
980,Pacific Alaska Airlines,1
981,Aerocondor,3
982,Hamilton Aviation,1
983,Aerovias Condor,1
984,Military - Nicaraguan Air Force,4
985,Wien Air Alaska,1
986,Connair,1
987,Inex Adria Aviopromet,3
988,Military - Israel  Air Force,1
989,Star Aviation,1
990,Winship Air,1
991,Philippine Aerotransport,2
992,Frigorifico Maniqui,1
993,TAME,8
994,CAAC,8
995,Transbrasil,3
996,LAC Colombia,2
997,Mercer Airlines,1
998,Antilles Air,2
999,Kodiak Western Alaska Airlines,1
1000,Yacimientos Petroliferos Fiscales,1
1001,Sabah Air,2
1002,Military - Burma Air Force,1
1003,Military - Spanish Air Force,3
1004,Temsco Helicopter - Air Taxi,1
1005,Military - Venezuelan Air Force,2
1006,Aeroflot / Aeroflot,3
1007,Inex Adria Aviopromet / British Airways,1
1008,Emirates Air Transport,1
1009,Nordeste Linhas Aéreas,3
1010,Bali International Air Service,2
1011,Inair Panama,1
1012,Atlantic City Airlines,1
1013,EgyptAir,7
1014,Jet Avia Charter,1
1015,Northern Thunderbird Air Ltd.,1
1016,Skyline Sweden,1
1017,North Canada Air,1
1018,Survair,1
1019,Alyemda,3
1020,Overseas National Airways,1
1021,Pan American World Airways / KLM,1
1022,El Venado,1
1023,Military - Israel Air Force,2
1024,IAS Cargo,1
1025,New  York Helicopter,1
1026,Fuerza Aérea Uruguaya,1
1027,Fleming International Airways,1
1028,Military - Angolan Air Force,7
1029,Military - Honduran Air Force,2
1030,Private KNBC Los Angeles,1
1031,Monarch Aviation,1
1032,Island Airways,4
1033,Transmeridian Air Cargo,1
1034,Servicios Aereos Nacionales Airways,1
1035,Alaska Aeronautical Industries,1
1036,Safe Air Cargo,1
1037,L & J Company,1
1038,Servicios Aereos Martinez Leon,1
1039,TAP (Air Portugal),0
1040,Malaysia Airlines,4
1041,"National Jet Services Inc.,  (Air Indiana)",0
1042,SATA,2
1043,Vieques Air Link,2
1044,Valley Air Service,1
1045,Servicios Aereos Nacionales,2
1046,SADELCA,1
1047,TABA,4
1048,Uruguayan Air Force,2
1049,Columbia Pacific Airlines,1
1050,Security Air,1
1051,LAV - Linea Aeropostal Venezolana,1
1052,Lake Havasu Air,1
1053,Air Logistics,2
1054,Gander Aviation,1
1055,Helikopter Service,2
1056,Aeropeca,1
1057,Las Vegas Airlines,2
1058,Air Guinee,1
1059,AirWest Airlines,1
1060,Air Rhodesia,2
1061,Temesco Helicopter - Air Taxi,1
1062,Lineas Areas del Centro,1
1063,Alaska Travel,1
1064,Philippine Air Force,9
1065,Pacific Southwest Airlines / Private,1
1066,Military - Finish Air Force,1
1067,Era Helicopter - Air Taxi,1
1068,Solomon Islands Airlines,2
1069,Nile Delta Air Services,1
1070,Aereo el Venado,2
1071,Tyee Airlines,1
1072,Rocky Mountain Airways,1
1073,Air 70,1
1074,Air Rouergue,1
1075,TAM Lineas Aéreas Regional,3
1076,Universal Airways,1
1077,Swift Aire Lines Inc.,1
1078,Catalina Airlines,1
1079,Sea Airmotive,1
1080,Military - Mauritanian Air Force,2
1081,Air New England,1
1082,Fiji Air Services,1
1083,Soldotna Air Services,1
1084,Butler Aviation Inc.,1
1085,Pacific Coastal Airlines,4
1086,West Coast Air,4
1087,Comair,4
1088,Aerolineas La Gaviola,1
1089,CAMBA,1
1090,Douglas Airways,2
1091,Haïti Air Inter,1
1092,Private charter,2
1093,Ambler Air Service,1
1094,Cubana de Aviacon,2
1095,Rotor Airs Inc - Air Taxi,1
1096,Advance Airlines,1
1097,Eagle Commuter,1
1098,VOTEC,4
1099,Lineas Aereas de Angola,1
1100,Air Wisconsin,2
1101,Aeronaves del Peru,1
1102,Bouraq Indonesia Airlines,2
1103,Military - Kuwait Air Force,1
1104,Florida Commuter Airlines,1
1105,Military - Force Aérienne Zaïroise,1
1106,Military - Royal Saudi Air Force,2
1107,F.R. de la Direccion General de Ados,1
1108,Central Air Services,1
1109,Tanzania Aviation,1
1110,Transportes Aereos del Caribe,1
1111,Cascade Airways,1
1112,Military - Soviet Navy,1
1113,Private - Corporate,1
1114,Helicopter - Air Taxi,5
1115,Urcupina,1
1116,Freedom International,1
1117,Air US / Private,1
1118,Private - Airfast Indonesia,1
1119,TAAG Angola Airlines,5
1120,Lineas Aereas,14
1121,TAR,4
1122,Transamazonica,1
1123,Aeroflot / Military - Russian Air Force,1
1124,Aeroflot /Military - Russian,1
1125,Military - Turkish Air Force,3
1126,Military - Iranian Air Force,6
1127,Sky Train Air,1
1128,NLM (Nederlandse Luchtvaart Maatschappij),0
1129,Oefag Flugdienst,1
1130,Aerolineas Argo,1
1131,Cameroon Airlines,4
1132,Guyana Airways,3
1133,Inex Adria Aviopromet (Yugoslavia),0
1134,Private - Parajump air show,1
1135,Bristow Helicopters,3
1136,ACES Colombia,3
1137,Air Florida,1
1138,Military - Ethiopian Air Force,4
1139,Military - Republic of South Korea Air Force,2
1140,Trans Air Services,1
1141,LAC Columbia,1
1142,Wideroe's Flyveselksap,4
1143,Air Taxi - Tundra Copters,1
1144,Okanagan Helicopters,1
1145,Air Affaires Gabon,1
1146,Western Helicopter,1
1147,Aerolineas Condor,1
1148,Cia Brasiliera de Tratores,1
1149,Aerolineas Centrales de Colombia,2
1150,Pioneer Airlines,1
1151,Aeronor Chile,1
1152,46826/109,1
1153,Aeroleo Taxi Aereo,1
1154,Central Airlines,12
1155,Munz Northern Airlines,1
1156,Air Liberia,1
1157,Japan Air Self-Defence Force,1
1158,SAN Ecuador,1
1159,Military - Republic of China Air Force,3
1160,Reeve Aleutian Airways,1
1161,Air Mali,2
1162,CAAK,1
1163,British Airways Helicopters,1
1164,Central Mountain Air Services,3
1165,Gulf Air,2
1166,Taiwan Airlines,3
1167,Air Illinois,1
1168,Pennsylvania Airlines,1
1169,Iberia Airlines / Aviaco,1
1170,TAMPA Colombia,1
1171,Inuvik Coastal Airways,1
1172,Military - Royal Jordanian Air Force,2
1173,Skycraft Air Transport,1
1174,North East Bolivian Airways,1
1175,Britt Airways,1
1176,Military - Salvadoran Air Force,1
1177,Aerosucre Colombia,5
1178,Frigorifico Reyes,1
1179,State Airlines,1
1180,VOTEC / VOTEC,1
1181,Zantop International Airlines,1
1182,Air Continental,1
1183,Air Taxi - Raco Helicopters Corp.,1
1184,South Pacific Island Airways,1
1185,Bangladesh Biman,1
1186,Aviation Enterprises,1
1187,Airfast Indonesia,2
1188,Wings West Airlines / Private,1
1189,Talair,4
1190,Provincetown - Boston Airlines,2
1191,MMM Aero Services,1
1192,APRL,1
1193,AECA Cargo,1
1194,Nahanni Air Services,1
1195,Labradore Airways,1
1196,Mililtary - Soviet Air Force,1
1197,Village Airways,1
1198,Military - Fuerza Aérea del Peru,1
1199,TPI International Airways,1
1200,Air Taxi - EMS,1
1201,Galaxy Airlines,1
1202,AIRES Colombia,3
1203,North Pacific Airlines,1
1204,YPF,2
1205,Carga Aereo Transportada,1
1206,Aeronica,3
1207,Aeroflot / Soviet Air Force,1
1208,General Aviation Inc.,1
1209,Fuerza Aérea Colombiana,2
1210,Alyemda Airlines,1
1211,British Airtours,1
1212,Bar Harbor Airlines,1
1213,Midwest Express,1
1214,MAP,3
1215,Air Carriers Express Services Inc,1
1216,Pel Air,1
1217,Sabeni,1
1218,Mountain Air Cargo,1
1219,Military - Indonesian Air Force,7
1220,Arrow Airways,1
1221,Aerovias de Guatemala SA,1
1222,Air Taxi,47
1223,Aerocalifornia,1
1224,GLM Aviation,1
1225,Simmons Airlines,1
1226,Goose Bay Air Services,1
1227,Ministerstvo Obshchestvo Mashinostroyeniya,1
1228,Military - Mozambique Air Force,2
1229,Military - El Salvador Air Force,1
1230,Air Lanka,1
1231,Military - Armée de l'Air Malgache,1
1232,Loganair,4
1233,Grand Canyon Airlines / Helitech,1
1234,Military - Zimbabwe Air Force,1
1235,Leeward Islands Air Transport,1
1236,Southwest Airlift,1
1237,Aeromexico / Private,1
1238,Atlantic Southeast Airlines,3
1239,Eastindo,1
1240,Southern Air Transport,1
1241,Government of Mozambique,1
1242,Private - WNBC,1
1243,British International Helicopters,1
1244,Military - Afghan Republican Air Force,15
1245,Iraqi Airways,1
1246,Sunflower Airlines,1
1247,Military - Spanish Air Force.,1
1248,Skywest Airlines / Private.,1
1249,Northwest Airlink,3
1250,California Air National Guard,1
1251,Burlington Air Express,1
1252,Air-Lift Commuter,1
1253,Sasco Air Lines,1
1254,American Eagle,5
1255,Air Manitoba,2
1256,YPFB Transportes Aereos,1
1257,Missionary Aviation Fellowship,3
1258,Military - Peruvian Air Force,4
1259,Belize Air International Ltd.,1
1260,Northwest Airlines,5
1261,Aeroejecutivos Colombia,1
1262,Air Malawi,1
1263,Ryan Air Services,1
1264,Cooper Skybird Air Charters,1
1265,Peruvian Naval Aviation,1
1266,Air Littoral,3
1267,Air Taxi - Petroleum Helicopters Inc.,1
1268,Merpati Nasantara Airlines,2
1269,Condor Flugdienst,1
1270,ETA - Empresa Transportes Aéreos,1
1271,China Southwest Airlines,2
1272,Trans Colorado AL / Continental Express,1
1273,Military - Fuerza Aérea Panamena,1
1274,NFD - Nurnberger Flugdienst,1
1275,AV Air / American Eagle,1
1276,Talia Airways,1
1277,Commercial Airways (Comair),0
1278,Transport Arien Transregional,1
1279,Arax Airlines,1
1280,Kuwait Airways,1
1281,Military - Cuban Air Force,1
1282,Aloha Airlines,1
1283,Starair,1
1284,Lineas Aéreas Suramericanas,1
1285,Angola Air Charter,1
1286,Aerocaribe,3
1287,Transporte Aereo Federal,1
1288,Hang Khong (Vietnam),0
1289,Aramar,1
1290,Shanxi Airlines,1
1291,Uganda Airlines,1
1292,Vayudoot,2
1293,Aero Peru,1
1294,Wasa Wings,1
1295,Aero Club Libya,1
1296,T & G Aviation,1
1297,Military - Russian Air Force / Military - Russian Air Force,1
1298,GAS Air,1
1299,RAM,1
1300,Independent Air Inc.,1
1301,Transfair,1
1302,Aero Condor,1
1303,Air Ontario,1
1304,Mid Pacific Air,1
1305,Evergreen International Airlines,1
1306,Europe Aero Service EAS,1
1307,Aero Cozumel,1
1308,Holmstoem Air,1
1309,Aero Asahi,1
1310,Surinam Airways,1
1311,Aerotaca,3
1312,Formosa Airlines,5
1313,Calair,1
1314,Air Taxi - Centre Airlines Inc.,1
1315,Air Freight New Zealand,2
1316,Olympic Aviation,1
1317,RRC Air Service,1
1318,Aspring Air,1
1319,China Eastern Airlines,4
1320,Partnair,1
1321,Wehite Cap Aviation,1
1322,Boeing KC-135E,1
1323,USAir,5
1324,Skylink Airlines,1
1325,Winchester Air,1
1326,Air Taxi - Paramount Aviation Corp.,1
1327,TAUSA,1
1328,Aloha Island Air,1
1329,Weasua Air Ttansport,1
1330,Military - Royal Lesotho Defence Force,1
1331,Military - People's Army/ Military - Peoples Air Force,1
1332,Tepper Aviation,1
1333,Lineas Aéreas Cave,1
1334,New England Airlines,1
1335,United Express,3
1336,Air Fiordland,1
1337,SANSA,1
1338,Federal Express,2
1339,Military - Venezuelan Navy,2
1340,Airfast Services,2
1341,MIAT - Mongolian Airlines,5
1342,Military - Congolese Air Force,2
1343,Airborne Express,2
1344,Wiggins Airways,2
1345,Helicopteros Nacionales de Colombia,1
1346,Military - Zambian Air Force,2
1347,Helicsa,1
1348,TAN Honduras,1
1349,Aeroperlas,2
1350,MATS - Manila Aero Transport System,1
1351,Frontier Air,3
1352,Aerial Transit Company,1
1353,Avicsa,1
1354,Military - Luftwaffe,2
1355,Aerolift Philippines,1
1356,Ptarmigan Airways,1
1357,Servicio Expresso Nacional,1
1358,Private - Omniflight Helicopters,1
1359,Frontier Flying Service,1
1360,Nuna Air,1
1361,SUDENE,1
1362,HiTech Helicopters,1
1363,China Southern Airlines / Xiamen Airlines,1
1364,BAFIN,1
1365,Bangkok Airways,1
1366,Eitos,1
1367,Northwest Airlines/ Northwest Airlines,1
1368,Sudania Air Cargo,1
1369,Lockheed AC-130H Hercules,1
1370,USAir / Skywest Airlines,1
1371,Military - Hellenic Air Force,1
1372,Military - Ecuadorean Air Force,1
1373,Ryan International Airlines,1
1374,Fuerza Area Angolaise,1
1375,Duncan Aircraft Sales,1
1376,Transafrik,3
1377,Military - U.S. Navy / Military -  U.S. Navy,1
1378,Air Tahiti,1
1379,Air Taxi - Air Grand Canyon Inc.,1
1380,ADES Colombia,2
1381,Metro Cargo,1
1382,Lauda Air,1
1383,Agape Flight Inc.,1
1384,Carib Air Transport,1
1385,AKF Polet,1
1386,Okada Air,1
1387,Helicol Colombia,1
1388,Aerochasqui,1
1389,L'Express Airlines,1
1390,Nationair (chartered by Nigeria Airways),0
1391,Vanair,2
1392,Avalki Air,1
1393,Temsco Airlines,1
1394,Air Taxi - Bohemia Inc.,1
1395,Dirgantara Air Services,4
1396,Airtech Rajawaldi Udara,1
1397,Continental Express,2
1398,Canair Cargo,1
1399,CORAL Colombia,2
1400,EDELCA,1
1401,Corporate Mobility Inc. - Private,1
1402,Military - Azerbaijan Air Force,2
1403,Nordeste Linhas Aereas,1
1404,Air Taxi - Airis Helicopters Inc.,1
1405,STASA,1
1406,Tartarstan Airlines,1
1407,Military - Força Aérea Brasileira,1
1408,Classic Wings,1
1409,Gambcrest,1
1410,ATI,7
1411,Frigorifico Santa Rita,1
1412,Lina Congo,1
1413,Golden Star Air Cargo,1
1414,Kamchatavia,1
1415,Air Bissau,1
1416,Military - Kenyan Air Force,1
1417,Perris Valley Aviation,1
1418,Scenic Air Tours,1
1419,Saha Airline Services,2
1420,COPA (Panama),0
1421,Krasnoyarsk Airlines,1
1422,Military - Sri Lanka Air Force,7
1423,Arctic Circle Air Service,1
1424,Military - Unified Yemen Air Force,1
1425,Georgian Air,3
1426,Volga-Dnepr Airlines,1
1427,Mandala Airlines,2
1428,Aero Eslava,1
1429,China General Aviation Corporation,1
1430,Servicios Aereos Santa Ana,1
1431,Lone Star Airlines,1
1432,Military - Peruvian Air Force - TANS,1
1433,NewCal Aviation,1
1434,Professional Aviation Services,1
1435,Expresso Aéreo,2
1436,Kamchatka Airlines,2
1437,Air Taxi - Hawaii Helicopters Inc.,1
1438,Aero Ejecutivos,1
1439,Avesca Colombia,1
1440,Yakutavia,2
1441,Military - Federal Nigerian Air Force,1
1442,Miltiary - U.S. Airforce,1
1443,Wuhan Airlines,2
1444,Kiev Production Association,1
1445,Syktyvkar Avia,1
1446,Vietnam Airlines,2
1447,Aerocaribbean - Charter,1
1448,China Southern Airlines,3
1449,Aero Sudpacifico,1
1450,Scibe Airlift Cargo Zaire,1
1451,Libya Arab Airlines / Military -  Libya Air Force,1
1452,Air Taxi - South Coast Helicopters Inc.,1
1453,Lufthansa Cityline,1
1454,Titan Airways,1
1455,Trans Service Airlift,2
1456,Pan Malaysian Air Transport,1
1457,Iran Air Tours  /  Military - Iranian Air Force,1
1458,Cargo Three Panama,1
1459,Palair Macedonian,1
1460,Oeste Linhas Aereas,1
1461,Fiji Air,2
1462,Carga del Caribe,1
1463,Southwest Air,12
1464,Tajikistan Airlines,3
1465,Military - Georgian Air Force,2
1466,China Northwest Airlines,2
1467,Asiana Airlines,3
1468,Hornbill Airways,1
1469,Everest Air,1
1470,Sakha Airlines,2
1471,Transair Georgia Airlines,2
1472,Hibiscus Air,1
1473,China Northern Airlines,2
1474,Magistralnye Avialinii,1
1475,Aviaimpex (Macedonia),0
1476,Express Airlines - Northwest Airlink,1
1477,Arctic Wings & Rotors,1
1478,Air Senegal / Gambia Airways,1
1479,Lao Aviation,2
1480,Kuban Airlines,1
1481,Baikal Air,1
1482,Atlantic Coast Airlines (United Express),0
1483,North Western Air Transport,1
1484,British World Airways,1
1485,Sahara,1
1486,Chalk's International Airlines,1
1487,Salair,2
1488,Aurukun Air Services,1
1489,Aeroflot Russian International Airways,1
1490,Air Taxi - El Aero Services Inc.,1
1491,KLM Cityhopper,1
1492,Rwanda Government,1
1493,Military - U.S. Army / Military U.S. Army,1
1494,Rico Taxi Aero,1
1495,Arall,1
1496,Transoriente Colombia,1
1497,Aerolineas Cuahonte,1
1498,TAESA,2
1499,Air Ivorie,1
1500,Military - Dostum-Galboddin Militia,1
1501,Airbus Industrie,1
1502,Air Mauritanie,1
1503,Air Taxi - Papillion Helicopters Ltd.,1
1504,Air Martinique,1
1505,Sankuru Air Service,1
1506,Alas Chiricanas,1
1507,Air Taxi - Uyak Air Services Inc.,1
1508,Air Taxi - Talon Air Services Inc.,1
1509,Air Taxi - National Helicopters,1
1510,Aerocontroctors - Charter,1
1511,Oriental Airlines,1
1512,Heavylift Cargo Airlines,1
1513,Cheremshanka Airlines,1
1514,TAM Paraguay,1
1515,Arsenyev Aviation Production Association,1
1516,SELVA,4
1517,Iran Asseman Airlines,1
1518,Transportes Aereos Pegaso,1
1519,Trigana Air Service,5
1520,SA Amazonica,1
1521,Ameriflight,2
1522,SL Aviation Services,1
1523,Servivensa,2
1524,Phoenix Aviation,1
1525,Intercontinental de Aviacion,1
1526,Air Taxi - Wolfe Air Aviation Ltd.,1
1527,Abakan Airlines,1
1528,Leadair - Charter,1
1529,TAROM (Transporturile Aeriene Romane),0
1530,Bearskin Airlines / Air Sandy,1
1531,American Jet,1
1532,Knight Air,1
1533,LACOL,1
1534,Senegalair,2
1535,Ansett New Zealand,1
1536,Volga Air,1
1537,Harka Air Services,1
1538,Garamut Aviation,1
1539,Milne Bay Air,3
1540,Military - Madagascar Air Force,1
1541,Transniugini Airways,1
1542,Aero Air,1
1543,Bourag Indonesia Airlines,1
1544,North Star Air Cargo,1
1545,Adventure Airlines,1
1546,Norilsk Flight Company,1
1547,Western Straits Air,1
1548,Sabang Merauke Raya Air Charter,2
1549,Kirghizia Aba Zaoldoru,1
1550,Azerbaijan Airlines,3
1551,Azerbaijani Airlines,1
1552,Far East Aviation,1
1553,Romanian Banat Air,1
1554,Mustique Airways,1
1555,African Air,19
1556,Military - Nigerian Air Force,3
1557,Lineas Aereas del Caribe,1
1558,Business Air Connection,1
1559,"Alas Nacionales, leased from Birgen Air",1
1560,Military - Taliban Militia,1
1561,Hati Express,1
1562,Military - Sudanese Air Force,2
1563,Aero Tropical,1
1564,Compania de Aviacion Faucett SA (Peru),0
1565,Military - Peruvian Army Aviation,1
1566,Akhal Air,1
1567,Krasnoyarskie Avialinii,1
1568,Federal Airlines,1
1569,Buffalo Narrows Airways,1
1570,Aeroservicios Empresariales de Durango,1
1571,ValuJet,1
1572,Hoseba,1
1573,Military - Australian Army Aviation,1
1574,China Flying Dragon Aviation (Feilong Airlines),0
1575,Archana Airlines,1
1576,Aerolatino (Aerocaribe),0
1577,Northern Air Cargo,1
1578,Myanmar Airways,4
1579,First Air,2
1580,Air North,1
1581,Harbour Air,2
1582,Spair Air Transport,1
1583,Vnokovo Airlines,1
1584,Dutch Dakota Association,1
1585,Aeroperu,1
1586,Malu Aviation,2
1587,Savanair,2
1588,Million Air,1
1589,Tyumen Aviatrans,1
1590,Transported Areos Profesionales - TAPSA,1
1591,Aviation Development Corporation,1
1592,Jetcom S.A.,1
1593,Saudi Arabian Airlines / Kazakhstan Airlines,1
1594,Komi Avia,1
1595,United Express  / Private,1
1596,Emery Worldwide,2
1597,Aircraft Charter Group Inc,1
1598,Southcentral Air,1
1599,Skypower Express Airways,2
1600,Air Senegal,2
1601,Force Area Populaire de Angola,1
1602,Military - Israel Air Force /Military -  Israel Air Force,1
1603,Transpolar,1
1604,ALADA,1
1605,Stavropol Airlines,1
1606,Custom Air Service,1
1607,Hageland Aviation Services,3
1608,Military - Niger Air Force,1
1609,Bazair,1
1610,Elbee Airlines,1
1611,Military - Colombian Army,1
1612,Sempati Air,1
1613,Goroka Air Services,1
1614,ADC Airlines,2
1615,Fine Air,1
1616,Borneo Airways,1
1617,TMK Air Commuter,1
1618,Military - Luftwaffe / Military - USAF,1
1619,Scenic Airlines,1
1620,Sowind Air,1
1621,STAP,1
1622,Aerosweet Airlines (LVOV),0
1623,SilkAir,1
1624,Military - Greek Air Force,1
1625,Renan Airways,1
1626,Parsa,1
1627,Aeroservice International,1
1628,Military - Ariana Afghan Airlines,1
1629,Cebu Pacific Air,1
1630,Air Luxor,1
1631,Military - Sudan Air Force,3
1632,Air Memphis,1
1633,Linea Aérea Mexicana de Carga,1
1634,Military - Lao People's Liberation Army Air Force,1
1635,Air Taxi - US Helicopters Inc.,1
1636,Propair,1
1637,Air Taxi - Ohana Helicopter Tours,1
1638,ATI Aircompany,1
1639,Alas del Sur,1
1640,Ukraine Aviation Transport Company,1
1641,Plane Sailing,1
1642,Swifair,1
1643,Selva Taxi Aero,1
1644,Proteus Air / Private,1
1645,Alliance Airlines,2
1646,Harbour Air Seaplanes Ltd.,1
1647,Alada,1
1648,Vincent Aviation,1
1649,Lumbini Airways,1
1650,Speed Service Couriers,1
1651,Permaviatrans,1
1652,Rusts Flying Service Inc.,1
1653,Paukn Air,1
1654,Cabo Verde Airlines,2
1655,Lionair,1
1656,Congo Airline,1
1657,Ararat Avia,1
1658,TanaMana Aviation,1
1659,Living Water Teaching Ministries Charter,1
1660,Air Satellite,1
1661,Khors Aircompany,1
1662,Zanex,1
1663,Transafrik - United Nations Charter,1
1664,Channel Express,1
1665,Military - German Air National Guard,1
1666,Kelowna Flightcraft Air Charter,1
1667,Uzu Air,1
1668,Fuerza Aérea Nicaragua,1
1669,Savannair,1
1670,Airlink,7
1671,Air Karibu,1
1672,Minerva Airlines,1
1673,ALIANSA Colombia,1
1674,Provincial Airlines,1
1675,Manacá Táxi Aéreo,1
1676,Korean Air,12
1677,Military - Malaysian Air Force,1
1678,Malindi Air Services,1
1679,Pacific Airways,6
1680,Air Taxi - Coastal Helicopters Inc.,1
1681,Blue Water Aviation Services,1
1682,LANC Colombia,1
1683,Lufthansa Cargo Airlines,1
1684,Aero Jet Express,1
1685,Air Fiji,1
1686,TACV-Cabo Verde Airlines,1
1687,Uni Air,1
1688,Uzbekistan Airways,3
1689,"LAPA, Lineas Aereas Privadas Argentinas",1
1690,Necon Air,1
1691,Greek Government,1
1692,Norte Jet Táxi Aéreo,1
1693,Aramco Associated Company,1
1694,Military - Venezuelan Army,2
1695,Si Fly - U.N. charter,1
1696,Tashkent Aircraft Production Corporation,1
1697,Asian Spirit,1
1698,Skyline Airways,2
1699,Ecuato Guineana de Aviacion,1
1700,Crossair,2
1701,Avisto,1
1702,Kenya Airways,2
1703,Military - Islamic Republic of Iran Air Force,3
1704,Southwest Airlines,8
1705,Vologodskiye Airlines,1
1706,Points North Air Services,1
1707,Military - Ejército del Aire,1
1708,Sky Cabs,1
1709,Uralex,1
1710,Military - Sri Lankan Air Force,1
1711,Bankair,1
1712,Air Philippines,1
1713,Military - Centrafricain Airlines,1
1714,North Coast Aviation,1
1715,Northern Executive Aviation,1
1716,Trans Guyana Airways,2
1717,Price Aircraft Company,1
1718,Avirex,1
1719,Executive Airlines,1
1720,Whyalla Airlines,1
1721,Ghana Airlink,1
1722,Universal Jet Aviation,2
1723,Military - Japanese Air Self-Defence Force,1
1724,Win Win Aviation,1
1725,Indian Airlines/Alliance Airlines,1
1726,Airwave Transport,1
1727,Allied Air Freight,1
1728,Blue Hawaiian Helicopters,1
1729,Air taxi - Lider Air Taxi,1
1730,Military - Fuerza Aérea de Chile,1
1731,Patuxent Airways / Private,1
1732,Staer Air,1
1733,Military - Fuerza Aérea Colombiana,1
1734,Charter - Central Air,1
1735,Summit Air Charters,1
1736,Bombardier Aerospace,1
1737,Singapore Airlines,1
1738,Aca-Ancargo,1
1739,Superior Aviation,1
1740,Asa Pesada,1
1741,Servicio Aereo Manchupo,1
1742,Military - People's Liberation Army,1
1743,Military - Tentara Nasional Indonesia Navy,1
1744,Majestic Air Cargo,1
1745,Rutaca Airlines,1
1746,North Bay Charter,1
1747,Lineas Aereas Suramericanas,1
1748,E.A.S. Aeroservizi,1
1749,Northern Illinois Flight Center,1
1750,Gum Air Charter,1
1751,Military - Florida Army National Guard,1
1752,Vnukovo Airlines,1
1753,Air Caraibes,1
1754,Jetwingsco Inc. - Private Charter,1
1755,SFC Vietnam - Charter - Full Account,1
1756,Private - Techint  group,1
1757,Faraz Qeshm Airlines,1
1758,Manunggal Air,1
1759,Vladivostokavia,1
1760,Private  - Daewoo Shipbuilding,1
1761,Private - Overtec Company,1
1762,Russ Air Transport Company,1
1763,Naske Air,1
1764,Papillon Grand Canyon Helicopters of Las Vegas,1
1765,Victoria Airlines,1
1766,Ameristar Jet Charter,2
1767,Air Transat,1
1768,Binter Mediterráneo,1
1769,Aero Ferinco Charter,1
1770,Atlantic Airlines,1
1771,Sibir Airlines,2
1772,Air Saint Maurice Inc.,1
1773,Scandinavian Airlines (SAS) / Private,0
1774,Flightline,1
1775,PenAir,1
1776,Perimeter Airlines,1
1777,ERA Aviation - Air Taxi,1
1778,Charter - IRS Aero,1
1779,ELK Aviation Co. (leased from Eminex),0
1780,MK Airlines,2
1781,"Military - Russian, cargo",1
1782,Eagle Air,2
1783,Heliandes,1
1784,BAL Bremerhaven Airline,1
1785,Agco Corp,1
1786,Ibertrans Aérea,1
1787,Procuraduría General de la República,1
1788,Petroproducción,1
1789,Military - Angolan  Air Force,1
1790,Iran Air Tours,3
1791,Tiramavia,1
1792,Svedijos Prekés,1
1793,Charter - Aerotaxi,1
1794,Djibouti Airlines,2
1795,Tadair,1
1796,Air China,1
1797,SELVA Colombia,1
1798,EAS Airlines (Executive Airline Services),0
1799,Sky Executive Air Services,1
1800,Airquarius Aviation - Charter,1
1801,Military - Angolan Armed Forces,1
1802,Bashkirian Airlines / DHL Worldwide Express,1
1803,Prestige Airlines (Cargo) Charter,0
1804,Military - Ukraine Air Force,3
1805,Pulkovo Aviation Enterprise,1
1806,Shangri La Air,1
1807,Vostok Aviakompania,1
1808,Rico Taxi Aéreo,1
1809,Total  Air Lines,1
1810,Deraps Aviation,1
1811,Military - Indian Navy,1
1812,Luxair,1
1813,Richmor Aviation,1
1814,Laoag International Airlines,1
1815,Island Airways Ltd.,1
1816,Planemasters,1
1817,Transasia Airways,1
1818,Aeromist-Kharkiv,1
1819,Ocean Airlines,1
1820,US Air Express/Air Midwest,1
1821,TANS Airlines,1
1822,Aerocom,1
1823,African Commuter Services,1
1824,Euro Asia Aviation,1
1825,Volare Aviation Enterprise,1
1826,Enimex,1
1827,Air Taxi - Great Northern Aircraft Co.,1
1828,Military - Islamic Revolution's Guards Corps,1
1829,Private - Kabanov - skydiving,1
1830,PT Air Regional,1
1831,Morris Hancock Flying Club - Charter,1
1832,Ukrainian Cargo Airlines -  Congolese Army Charter,1
1833,Ukranian-Mediterranean Airlines,1
1834,McKinley Air Service - Air Taxi,1
1835,Eurojet Italila,1
1836,Air Taxi - Marco Zero Air Taxi,1
1837,Charter - Air Adventures New Zealand Ltd,1
1838,Astro Air Taxi,1
1839,Paradise Tour Helicopters,1
