,Operador,cant_Accidentes
224,Military - Royal Air Force,32
225,Panair do Brasil,13
226,BOAC,5
227,Military - U.S. Army Air Force,46
228,Guinea Airways Limited,1
229,Military - U.S. Army Air Forces,45
230,Panair do Brasil SA,1
231,American Export Airlines,1
232,American Airlines / Military - USAF,1
233,Avianca,3
234,Kranoyarskie Vozhjushnye Trassy,1
235,Western Airlines,15
236,DDL,1
237,Canadian Pacific Air Lines,11
238,Private - Boeing Aircraft Company,1
239,Military - U.S. Air Force,151
240,AB Aerotransport,4
241,Military - Royal Canadian Air Force,6
242,Military - Indian Air Force,15
243,Military - U.S. Army Air Forces / Military - U.S. Army Air Forces,1
244,DETA,1
245,Varig,17
246,Military - Royal Netherlands East Indies Air Force,1
247,U. S. Air Force,2
248,Military - U.S. Army Air Corps,3
249,CATC,1
250,TACA,11
251,Trans-Canada Air Lines,1
252,Navegacao Aerea Brasileira,1
253,Military - United States Army Air Force,2
254,Page Airways,1
255,Mac Robertson Miller Airlines,1
256,Military - Royal Indian Air Force,2
257,Military - South African Air Force,2
258,Eastern Air Lines / Military - U.S. Army Air Corps,1
259,Lineas Aereas Mineras,1
260,National Airlines,10
261,Faucett,11
262,National Skyway Freight Co.,1
263,Polyarnya Aviatsiya,1
264,Military - Chinese Air Force,5
265,Mililtary - Royal Canadian Air Force,1
266,British Overseas Airways /Qantas,1
267,Railway Air Services Ltd.,1
268,Military - Royal British Navy,2
269,Military U.S. Navy / Military - U.S. Navy,1
270,Viking Air Transport,1
271,DNL Norwegian Air Lines,1
272,Central Air Transport,2
273,ANDESA,1
274,Military -  (2) U.S. Army Air Forces,0
275,Communicaciones Aereos de veracruz,1
276,British European Airways,21
277,Atlantic Central Airlines,1
278,Trans Luxury Airlines,1
279,Queen Charlotte Airlines,2
280,Trans-Luxury Airlines,1
281,British South American Airways,6
282,Mt. McKinley Airfreight,1
283,Railway Air Service Ltd.,1
284,American Overseas Airlines,1
285,Military - Royal Netherlands Naval Air Service,1
286,Air Ocean,1
287,National Air Transport Services,1
288,Socotra,1
289,CTA Languedoc Roussillon,1
290,Empressa Commun. Aéreas de Veracruz,1
291,Lineas Aéreas Costarricenses  LACSA,1
292,Fuerza Aérea Argentina,3
293,Military - U.S. Marine Corps,16
294,Far Eastern Air Transport,6
295,Winged Cargo Inc.,1
296,FAMA (Argentina),0
297,CNAC,2
298,CATA,2
299,Kansas City Southern Skyways,1
300,Nationwide Air Transport,1
301,Military - Mexican Air Force,4
302,AVIANCA,26
303,Spencer Airways / Ceskoslovenske Aerolinie,1
304,Philippine Air Lines,33
305,International Air Freight,1
306,Aerovias Cuba International,1
307,Slick Airways,7
308,Military - Corrieri Aerei Militari,1
309,VIARCO,1
310,Linea Aeropostal Venezolana,15
311,Flugefelag,1
312,Flota Aérea Mercante Argentina,3
313,Burke Air Transport,1
314,Aero Cargo,1
315,Transporturile Aeriene Romano-Sovietice,1
316,Norwegian Airlines,2
317,American International Airways,2
318,Societe Aerienne du Littoral,1
319,Stratofreight,1
320,Philippine Air Express,1
321,Société Auxiliare de Navigation Aérienne,1
322,Trafik-Turist-Transportflyg,1
323,TARS,1
324,Columbia Air Cargo,1
325,JAT Yugoslav Airlines,8
326,Alaska Airlines,12
327,Air Transport,76
328,Air India,13
329,Servicio Aéreo Panini,1
330,Coastal Air Lines,1
331,Transport Comp. Algerienne de T.A.,1
332,Dominicana,2
333,Airline Transport Carriers,1
334,Det Danske Luftfartselskab,1
335,Società Aerea Teseo,1
336,Commercial Airways,2
337,Bruning Aviation,1
338,Military - Brazilian Air Force,10
339,Société de Transports Aériens,1
340,Loftleidir Icelandic Airlines,2
341,Cruzeiro,16
342,Agencia Interamericana de Aviada,2
343,Indian National Airlines,2
344,British European Airways / Military - Soviet Air Force,1
345,New Guinea Air Traders,1
346,Skyways of London,2
347,Mercury Aviation,1
348,Air Transport Charter,2
349,Alpha Airways,1
350,Hargreaves Airways,1
351,Cathy Pacific,1
352,Scandinavian Airlines (SAS),0
353,Aigle Azur,6
354,Aerovias Brasil,2
355,Cathay Pacific Airways,5
356,Rimouski Airlines,1
357,ALFA,2
358,Civil Air Transport,5
359,Onzeair,1
360,New Zealand National Airways,5
361,Avensa,7
362,Aerflot,1
363,Pacific Alaska Air Freight,1
364,Mannin Airways,1
365,Pakistan Airways,1
366,"Avio Linee ItalianeAvio Linee Italiane",1
367,LANSA,5
368,Airborne Transport,1
369,Pan African Air Charter,2
370,Seattle Air Charter,1
371,Coastal Cargo,1
372,Viacao Aerea Gaucha S.A.,1
373,Dalmia Jain Airways,1
374,Saint Lawrence Airways,1
375,British European Airways / Military - British,1
376,TAM (Peru),0
377,Queensland Airlines,2
378,Bristop Aeroplane Company,1
379,Tech - Aeronautical Explotiation,1
380,Strato Freight,1
381,Mac Roberston-Miller Airlines,1
382,Standard Airlines,2
383,Air Transport Associates,1
384,Eastern Air Lines / Military - USN,1
385,Lineas Aéreas Brasil,1
386,Shell Co of Ecuador,1
387,SAETA,4
388,Transocean Air Lines,5
389,Eastern Air Lines / Military - Bolivian Air Force,1
390,Harrington's Inc,1
391,Royal Indian Air Force,3
392,Aero Holland,1
393,REAL,10
394,Arrow Airlines,1
395,Capital Airlines,8
396,Pakair,1
397,Bharat Airways,1
398,Military - Soviet Air Force,12
399,Ejercito del Aire,1
400,Military - Bolivian Air Force,3
401,Societe Transatlantique Aerienne,1
402,Societe Indochinoise de Transport Aeriens,1
403,Fairflight Ltd.,1
404,Devlet Hava Yollairi,1
405,SEMAF,1
406,Deccan Airways,4
407,Lineas Aéreas Nacionales,2
408,Regina Cargo Airlines,2
409,Westair Transport,1
410,New Tribes Mission,2
411,Ansett ANA,4
412,DTA Angola Airlines,2
413,Cie Air Transport,1
414,"SAVG (S.A. Viacao Gaucha, )SAVG",0
415,Trans World Airlines,23
416,Robinson Airlines,1
417,Iran Air,14
418,Svenska Aero,1
419,Air Atlas,2
420,Curtiss-Reid Flying Services Ltd. (Canada),0
421,Garuda Indonesia Airlines,19
422,Indamer,3
423,T.A. Intercontinentaux,2
424,Aerolineas Argentinas,13
425,United Airways,4
426,Air Carriers,2
427,Alitalia,9
428,Military - TAM,2
429,Icelandair,3
430,Military - Portuguese Air Force,2
431,Mid Continent Airlines,1
432,Pacific Overseas Airways,1
433,Southwest Airways,1
434,Siamese Airways,1
435,Cubana de Aviacion / Military -  US Navy,1
436,Hunting Air Travel,2
437,Lineas Aéreas Trans. Brasileira,1
