,Country Name,Country Code,1999,2000,2001,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
35,Canadá,CAN,319600.0,963468.0,982013.0,1234528.61925597,1245743.61579713,1280198.18557714,1263297.33686341,1290419.0,1322033.0,1359442.0,1443818.0,1250460.0,1215983.0,511637.0
36,Europa Central y del Báltico,CEB,205200.0,220821.0,237439.0,459987.605461649,458432.212389811,409115.831651127,407489.0,414473.868,420199.0,436849.0,484988.0,549291.0,566402.0,238601.363
37,Suiza,CHE,276300.0,289031.0,284899.0,224807.0,244994.0,257233.254295533,266128.0,263267.0,250094.0,229530.0,216436.0,219782.0,225755.0,81283.2
38,Islas del Canal,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Chile,CHL,92500.0,87945.0,82942.0,108840.0,123739.0,125120.0,127631.0,124480.0,116532.0,116238.0,124316.0,134661.0,143964.0,72839.0
40,China,CHN,547800.0,572921.0,840911.0,2377789.0,2538667.0,2779741.0,3073450.0,3356756.0,3616026.0,3952098.0,4359033.0,4692008.0,4963752.0,3667920.0
41,Côte d'Ivoire,CIV,6300.0,2342.0,716.0,5604.0,907.0,415.0,3912.0,4032.0,9068.0,9463.0,14884.0,14666.0,16616.0,8030.0
42,Camerún,CMR,5400.0,5580.0,10103.0,0.0,3036.0,4938.0,5640.0,5640.0,5499.0,8212.0,5640.0,5550.0,2336.0,1169.0
43,"Congo, República Democrática del",COD,0.0,0.0,5200.0,1945.0,2295.0,4781.0,11448.0,11580.0,12476.0,11513.0,18757.0,8271.0,7532.0,3787.864
44,"Congo, República del",COG,6000.0,6257.0,5235.0,3755.33363289149,4817.0,7011.0,12132.0,10380.0,11462.0,10604.0,8439.0,4976.0,4990.79,2047.429
45,Colombia,COL,208600.0,199370.0,190465.0,226094.0,237570.829047845,254059.928996848,304365.908,349864.363,368947.0,366188.0,355039.0,358874.0,371985.0,139029.18
46,Comoras,COM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Cabo Verde,CPV,12100.0,13010.0,8745.0,10363.0,10658.0712931195,10555.2286515647,8148.0,7728.0,7989.0,8745.0,4868.0,9385.0,10205.0,5067.487
48,Costa Rica,CRI,32000.0,24297.0,32270.0,41600.5549745151,43354.0,40081.0,42831.0,50239.0,41544.0,46405.0,48971.0,40014.0,44878.0,11696.8
49,Estados pequeos del Caribe,CSS,148100.0,138632.0,155940.0,126300.0,147475.438423049,171025.626310282,198637.0,252495.0,247773.0,245933.0,250510.0,242734.92913874,0.0,0.0
50,Cuba,CUB,15700.0,12264.0,11728.0,21235.4502809087,18302.8583708965,15869.7722047845,23292.0,15468.0,17592.0,20058.0,13144.0,8830.0,7146.0,2123.0
51,Curacao,CUW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Islas Caimán,CYM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Chipre,CYP,12100.0,12551.0,13321.0,15318.0,12430.0,13296.0,11724.0,9000.0,306.0,2994.0,8698.0,5456.0,3326.0,1118.0
54,República Checa,CZE,34800.0,40027.0,44164.0,72137.0,61476.0,44189.0,54948.0,48975.0,38304.0,43878.0,50387.0,70828.0,44051.0,12986.363
55,Alemania,DEU,709800.0,738297.0,762178.0,971803.431596833,1021899.93850367,985668.769188173,954874.0,946082.0,967453.0,962803.0,955827.0,922648.643490196,896647.181,303966.0
56,Djibouti,DJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Dominica,DMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Dinamarca,DNK,106300.0,109369.0,110492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560420.19,168010.186
59,República Dominicana,DOM,400.0,0.0,0.0,1552.0,2286.0,2303.0,1908.0,1584.0,1421.0,1170.0,0.0,0.0,7062.0,2497.4
60,Argelia,DZA,36400.0,40202.0,49274.0,53088.0,53286.0,54292.0,55516.0,60066.0,65940.0,73465.0,74714.0,77463.0,76049.0,18719.0
61,Asia oriental y el Pacífico (excluido altos ingresos),EAP,1149800.0,1215806.0,1522837.0,3847811.59742684,4199862.07704265,4541090.00446749,4876787.3179955,5445123.69175995,5872462.0,6431220.0,6919472.67,7387203.84148969,7629160.0,4921887.4922
62,inicial del dividendo demográfico,EAR,2043100.0,2077309.0,2197664.0,3940298.16679309,4158415.08632535,4357526.48746141,4574583.4635518,4976915.63345596,5220321.0,5700375.0,5886141.088,6219620.0608852,6098318.0,2909488.911
63,Asia oriental y el Pacífico,EAS,2784900.00097656,2884999.0,3230312.0,6334923.95244873,6627354.95496903,6896897.70045843,7391410.0459955,8025736.2493602,8575632.0,9231486.0,9792841.59,10258516.8414897,10575048.0,6378568.1962
64,Europa y Asia central (excluido altos ingresos),ECA,583000.0,585153.0,614331.0,1121064.22735896,1270621.38610583,1365184.82022895,1519945.50323624,1654043.72,1759692.0,1797519.0,1893325.0,1966459.545,2023942.332,1138080.459
65,Europa y Asia central,ECS,5933900.0,6236642.0,6291425.0,7011230.37227903,7377144.07392713,7300522.98255961,7299434.41223624,7478837.34464928,7758659.0,8043489.0,8204114.0,8482204.78708129,10338697.445,4189803.905
66,Ecuador,ECU,20200.0,18419.0,16523.0,60835.0,49193.0,54250.9226188785,58687.0,61248.0,61649.0,55430.0,50837.0,53033.0,50575.0,12056.18
67,"Egipto, República Árabe de",EGY,44300.0,47418.0,41373.0,104036.125,78726.0909090909,92303.0,100735.5,101725.767440561,108206.0,115856.0,105464.0,105097.0,111785.0,45340.337
68,Zona del Euro,EMU,3384600.0,3614849.0,3602518.0,4312987.80537931,4429716.47543149,4311417.62183855,4127753.909,4154277.39764928,4289208.0,4468338.0,4479927.0,4558126.9394902,4854409.543,1921748.837
69,Eritrea,ERI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.0,714.0,919.0,1018.0,1111.0,494.395
70,España,ESP,414200.0,485856.0,517481.0,546298.853885983,535074.0,471440.886886395,465558.909,486353.8,534895.0,566775.0,579842.0,641097.0,677578.545,261972.271
71,Estonia,EST,10600.0,9199.0,9133.0,12207.9705512659,13492.0,26778.0,13356.0,13524.0,13954.0,16179.0,528.0,1583.0,22.0,0.0
72,Etiopía,ETH,24900.0,26624.0,28128.0,48783.0,57728.0,62136.0,68131.0,71166.0,83940.0,94330.0,99263.0,110971.0,119542.0,72194.0
73,Unión Europea,EUU,3885000.0,4149031.0,4140156.0,4676663.80537932,4790933.68782131,4615569.45348967,4449114.909,4483220.19764928,4623877.0,4818987.0,4885812.0,5030659.9394902,6460716.923,2467334.572
74,Frágiles y situaciones de conflicto afectados,FCS,335600.0,355440.0,443315.0,488403.852182705,543909.401238065,519697.50053716,556736.09,533306.452630117,523455.0,528016.0,531374.38,539202.444543741,540882.122,284318.13
75,Finlandia,FIN,120700.0,145174.0,128881.0,132408.28422807,144467.0,138914.132653061,138987.0,140256.0,153849.0,162119.0,118856.0,125804.0,131089.0,47394.0
76,Fiji,FJI,57300.0,57776.0,62768.0,26127.0,18142.0,16011.2858124356,11748.0,19140.0,19487.0,20906.0,21855.0,24134.0,25859.0,10450.0
77,Francia,FRA,748600.0,811776.0,777756.0,738003.426442238,754292.0,739353.599757151,641440.0,610197.0,607168.0,599427.0,599256.0,597412.0,598374.0,268744.0
78,Islas Feroe,FRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Micronesia (Estados Federados de),FSM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Gabón,GAB,7300.0,7445.0,7492.0,7516.15985130111,3002.0,1553.0,0.0,0.0,2765.0,2305.0,0.0,0.0,0.0,0.0
81,Reino Unido,GBR,840800.0,876158.0,925638.0,985109.023067177,1062692.0,1050702.90909091,1052640.0,1064175.7,1104117.0,1180312.0,1182696.0,1242985.0,1061464.0,334084.578
82,Georgia,GEO,3000.0,1906.0,1945.0,2803.0,3896.0,3326.0,2933.0,3317.0,3959.0,3199.0,5061.0,7108.0,6587.0,774.0
83,Ghana,GHA,5000.0,4873.0,5892.0,5645.66956713294,10683.0,14902.0,16560.0,16764.0,20539.0,21628.0,21224.0,11635.0,15617.0,8941.0
84,Gibraltar,GIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Guinea,GIN,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Gambia,GMB,0.0,0.0,0.0,0.0,0.0,140.0,1788.0,1848.0,35.0,440.0,625.0,1116.0,1136.0,0.0
87,Guinea-Bissau,GNB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Guinea Ecuatorial,GNQ,0.0,0.0,0.0,717.170923379175,2808.0,8201.0,19416.0,14136.0,22350.0,22464.0,20590.0,7930.0,7423.0,3051.0
89,Grecia,GRC,94100.0,108584.0,125269.0,136382.257932753,125477.119829729,111870.0,103800.0,134160.0,124014.0,128454.0,135281.0,144040.0,151848.0,75393.0
90,Granada,GRD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Groenlandia,GRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Guatemala,GTM,0.0,0.0,0.0,8875.0,9148.0,8091.0,2556.0,2214.0,3012.0,3102.0,3577.0,3205.0,2623.0,673.09
93,Guam,GUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Guyana,GUY,500.0,418.0,276.0,9351.0,12231.0,8625.0,0.0,0.0,0.0,0.0,0.0,1931.0,1578.0,1502.0
95,Ingreso alto,HIC,16379700.0009766,17684379.0,17477641.0,20708428.976609,20919193.5755899,20597961.9635401,20574936.9738634,20589610.9070244,20969566.0,21580023.0,21787553.92,22071982.2083547,24160023.9681284,11872240.559
96,"Hong Kong, Región Administrativa Especial",HKG,72400.0,79182.0,85003.0,158255.0,173112.0,185506.37822568,199639.0,215562.0,228582.0,235581.0,243518.0,245146.0,242173.0,70874.0
97,Honduras,HND,0.0,0.0,0.0,21574.0,18287.0,16760.0,26796.0,24216.0,24813.0,24315.0,9482.0,14832.0,13146.0,4462.0
98,Países pobres muy endeudados (PPME),HPC,145800.0,143612.0,137114.0,266822.28924497,307977.717076074,311610.290559514,329263.772,346254.152913158,345543.0,341547.0,383488.0,410069.0,417461.09,233701.82585
99,Croacia,HRV,15900.0,16955.0,18258.0,24766.0,26743.0,26456.0,24305.0,25161.0,25183.0,26171.0,26809.0,27189.0,27711.0,12838.0
100,Haití,HTI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563.0
101,Hungría,HUN,30200.0,32297.0,31654.0,111307.0,120826.212389811,88801.8316511268,103080.0,123708.0,145492.0,137605.0,158454.0,183541.0,213664.0,106938.0
